Rep,year,id,nCSDage0,totalCSDage0
NA,NA,NA,NA,NA
2,10,3675733,14,50
2,10,3675734,21,50
2,10,3675735,17,50
2,10,3675736,16,50
2,10,3675737,20,50
2,10,3675738,26,50
2,10,3675739,16,50
2,10,3675740,21,50
2,10,3675741,20,50
2,10,3675742,13,50
2,10,3675744,13,50
2,10,3675745,24,50
2,10,3675746,19,50
2,10,3679360,35,50
NA,NA,NA,NA,NA
3,1,579021,26,119
3,1,579022,31,119
3,1,579023,28,119
3,1,579024,26,119
3,1,579025,30,119
3,1,579026,29,119
3,1,579027,28,119
3,1,579028,27,119
3,1,579029,25,119
3,1,579030,27,119
3,1,579031,28,119
3,1,579032,36,119
3,1,579033,25,119
3,1,579034,23,119
3,1,579035,26,119
3,1,579036,23,119
3,1,579037,27,119
3,1,579038,32,119
3,1,579039,24,119
3,1,579040,22,119
3,1,580360,29,119
3,1,580620,25,119
3,1,581111,29,119
3,2,857565,30,114
3,2,857566,34,114
3,2,857567,29,114
3,2,857568,29,114
3,2,857570,31,114
3,2,857571,39,114
3,2,857572,28,114
3,2,857573,33,114
3,2,857574,35,114
3,2,857575,27,114
3,2,857576,36,114
3,2,857577,21,114
3,2,857578,27,114
3,2,857579,32,114
3,2,857580,24,114
3,2,857581,27,114
3,2,857583,22,114
3,2,857584,20,114
3,2,857585,31,114
3,2,857586,24,114
3,2,859378,29,114
3,2,859448,30,114
3,3,1195295,33,107
3,3,1195296,32,107
3,3,1195297,33,107
3,3,1195298,40,107
3,3,1195299,35,107
3,3,1195301,29,107
3,3,1195302,25,107
3,3,1195303,36,107
3,3,1195304,32,107
3,3,1195305,26,107
3,3,1195306,34,107
3,3,1195307,29,107
3,3,1195308,31,107
3,3,1195309,32,107
3,3,1195310,34,107
3,3,1195311,30,107
3,3,1195312,30,107
3,3,1195314,33,107
3,3,1195315,34,107
3,3,1195316,33,107
3,3,1195805,24,107
3,3,1198313,29,107
3,3,1199333,31,107
3,4,1511959,26,101
3,4,1511960,30,101
3,4,1511961,33,101
3,4,1511962,36,101
3,4,1511964,34,101
3,4,1511965,34,101
3,4,1511966,35,101
3,4,1511967,32,101
3,4,1511968,31,101
3,4,1511969,35,101
3,4,1511971,34,101
3,4,1511972,30,101
3,4,1511973,40,101
3,4,1511974,35,101
3,4,1511975,33,101
3,4,1511977,31,101
3,4,1511979,22,101
3,4,1511980,32,101
3,4,1511981,27,101
3,4,1511982,25,101
3,4,1513170,27,101
3,4,1513597,31,101
3,4,1513660,34,101
3,5,1886272,31,97
3,5,1886273,34,97
3,5,1886275,35,97
3,5,1886276,34,97
3,5,1886277,35,97
3,5,1886278,34,97
3,5,1886279,37,97
3,5,1886281,32,97
3,5,1886282,40,97
3,5,1886283,37,97
3,5,1886284,34,97
3,5,1886285,33,97
3,5,1886286,33,97
3,5,1886287,31,97
3,5,1886288,25,97
3,5,1886289,31,97
3,5,1886290,35,97
3,5,1886291,31,97
3,5,1886292,34,97
3,5,1886293,33,97
3,5,1886567,34,97
3,5,1888780,37,97
3,6,2227591,29,93
3,6,2227592,37,93
3,6,2227593,34,93
3,6,2227594,33,93
3,6,2227595,34,93
3,6,2227596,37,93
3,6,2227597,33,93
3,6,2227598,38,93
3,6,2227599,34,93
3,6,2227600,33,93
3,6,2227601,34,93
3,6,2227602,27,93
3,6,2227604,32,93
3,6,2227606,30,93
3,6,2227607,34,93
3,6,2227608,35,93
3,6,2227609,36,93
3,6,2227610,33,93
3,6,2227612,27,93
3,6,2227614,34,93
3,6,2228543,35,93
3,6,2228671,32,93
3,6,2229583,36,93
3,6,2230348,30,93
3,6,2230773,34,93
3,6,2230990,34,93
3,7,2558821,34,85
3,7,2558823,30,85
3,7,2558824,27,85
3,7,2558825,36,85
3,7,2558827,30,85
3,7,2558829,24,85
3,7,2558830,30,85
3,7,2558831,28,85
3,7,2558833,29,85
3,7,2558834,29,85
3,7,2558835,30,85
3,7,2558836,33,85
3,7,2558837,33,85
3,7,2558839,35,85
3,7,2558840,35,85
3,7,2558841,38,85
3,7,2558843,33,85
3,7,2558845,37,85
3,7,2558846,30,85
3,7,2558847,33,85
3,7,2559432,30,85
3,7,2560230,33,85
3,7,2561791,33,85
3,8,2898853,23,73
3,8,2898855,28,73
3,8,2898857,27,73
3,8,2898858,19,73
3,8,2898860,25,73
3,8,2898861,26,73
3,8,2898863,27,73
3,8,2898864,29,73
3,8,2898865,32,73
3,8,2898866,33,73
3,8,2898867,28,73
3,8,2898868,34,73
3,8,2898869,21,73
3,8,2898870,34,73
3,8,2898872,32,73
3,8,2898873,29,73
3,8,2898874,26,73
3,8,2898875,32,73
3,8,2898876,36,73
3,8,2898878,25,73
3,8,2899572,29,73
3,8,2900037,29,73
3,8,2900308,28,73
3,8,2900396,26,73
3,8,2901973,30,73
3,9,3266223,22,69
3,9,3266224,13,69
3,9,3266225,20,69
3,9,3266226,18,69
3,9,3266227,20,69
3,9,3266229,25,69
3,9,3266230,22,69
3,9,3266231,24,69
3,9,3266232,20,69
3,9,3266233,25,69
3,9,3266234,21,69
3,9,3266235,25,69
3,9,3266237,27,69
3,9,3266238,21,69
3,9,3266239,21,69
3,9,3266240,21,69
3,9,3266241,24,69
3,9,3266242,27,69
3,9,3266244,22,69
3,9,3266245,30,69
3,9,3267234,24,69
3,10,3611217,16,62
3,10,3611218,18,62
3,10,3611219,15,62
3,10,3611220,18,62
3,10,3611221,18,62
3,10,3611222,14,62
3,10,3611223,20,62
3,10,3611224,19,62
3,10,3611226,21,62
3,10,3611227,22,62
3,10,3611228,18,62
3,10,3611229,20,62
3,10,3611230,21,62
3,10,3611231,23,62
3,10,3611233,22,62
3,10,3611234,22,62
3,10,3611235,18,62
3,10,3611236,16,62
3,10,3611237,21,62
3,10,3611238,17,62
3,10,3612083,26,62
3,10,3612822,23,62
NA,NA,NA,NA,NA
4,1,579021,26,118
4,1,579022,27,118
4,1,579023,22,118
4,1,579024,29,118
4,1,579025,33,118
4,1,579026,26,118
4,1,579027,23,118
4,1,579028,27,118
4,1,579029,30,118
4,1,579030,24,118
4,1,579031,31,118
4,1,579032,26,118
4,1,579033,31,118
4,1,579034,30,118
4,1,579035,31,118
4,1,579036,33,118
4,1,579037,28,118
4,1,579038,30,118
4,1,579039,31,118
4,1,579040,28,118
4,1,579907,28,118
4,2,915661,34,107
4,2,915662,30,107
4,2,915663,30,107
4,2,915664,36,107
4,2,915665,33,107
4,2,915666,38,107
4,2,915667,36,107
4,2,915668,39,107
4,2,915669,34,107
4,2,915670,39,107
4,2,915671,34,107
4,2,915672,23,107
4,2,915673,25,107
4,2,915674,28,107
4,2,915675,23,107
4,2,915676,34,107
4,2,915677,30,107
4,2,915678,29,107
4,2,915679,26,107
4,2,915680,27,107
4,2,916628,28,107
4,2,917083,31,107
4,2,917663,28,107
4,2,917943,31,107
4,3,1248727,35,104
4,3,1248728,32,104
4,3,1248729,40,104
4,3,1248730,38,104
4,3,1248731,44,104
4,3,1248732,40,104
4,3,1248733,36,104
4,3,1248734,27,104
4,3,1248735,31,104
4,3,1248736,36,104
4,3,1248737,36,104
4,3,1248738,35,104
4,3,1248739,30,104
4,3,1248740,35,104
4,3,1248741,35,104
4,3,1248742,34,104
4,3,1248743,34,104
4,3,1248744,39,104
4,3,1248745,36,104
4,3,1248746,31,104
4,3,1252581,32,104
4,4,1554764,34,104
4,4,1554765,40,104
4,4,1554766,39,104
4,4,1554767,45,104
4,4,1554768,40,104
4,4,1554769,35,104
4,4,1554770,37,104
4,4,1554771,31,104
4,4,1554772,37,104
4,4,1554773,34,104
4,4,1554774,34,104
4,4,1554775,32,104
4,4,1554776,39,104
4,4,1554777,42,104
4,4,1554778,38,104
4,4,1554779,27,104
4,4,1554780,29,104
4,4,1554781,30,104
4,4,1554782,33,104
4,4,1554783,39,104
4,4,1557143,46,104
4,5,1912286,37,100
4,5,1912287,45,100
4,5,1912288,41,100
4,5,1912289,38,100
4,5,1912290,33,100
4,5,1912291,37,100
4,5,1912292,34,100
4,5,1912293,40,100
4,5,1912294,42,100
4,5,1912295,30,100
4,5,1912296,31,100
4,5,1912297,33,100
4,5,1912298,33,100
4,5,1912299,33,100
4,5,1912300,41,100
4,5,1912301,40,100
4,5,1912302,35,100
4,5,1912303,40,100
4,5,1912304,34,100
4,5,1912305,43,100
4,5,1912954,28,100
4,5,1913843,40,100
4,5,1915736,34,100
4,5,1916154,40,100
4,6,2276446,28,94
4,6,2276447,33,94
4,6,2276448,38,94
4,6,2276449,37,94
4,6,2276450,34,94
4,6,2276452,36,94
4,6,2276453,41,94
4,6,2276454,30,94
4,6,2276455,32,94
4,6,2276456,33,94
4,6,2276457,33,94
4,6,2276458,36,94
4,6,2276459,40,94
4,6,2276460,34,94
4,6,2276461,35,94
4,6,2276462,34,94
4,6,2276463,44,94
4,6,2276464,38,94
4,6,2276466,37,94
4,6,2276467,31,94
4,6,2278370,42,94
4,6,2279891,30,94
4,6,2280036,33,94
4,6,2280074,40,94
4,6,2280155,34,94
4,7,2611740,25,89
4,7,2611741,29,89
4,7,2611742,31,89
4,7,2611743,31,89
4,7,2611744,30,89
4,7,2611745,32,89
4,7,2611746,37,89
4,7,2611747,34,89
4,7,2611748,28,89
4,7,2611749,34,89
4,7,2611750,31,89
4,7,2611752,37,89
4,7,2611753,30,89
4,7,2611754,32,89
4,7,2611755,36,89
4,7,2611756,34,89
4,7,2611757,33,89
4,7,2611758,39,89
4,7,2611759,31,89
4,7,2611761,33,89
4,7,2612160,30,89
4,7,2613747,39,89
4,7,2613857,32,89
4,7,2614909,36,89
4,7,2614928,37,89
4,8,2914474,23,78
4,8,2914475,25,78
4,8,2914476,25,78
4,8,2914477,23,78
4,8,2914478,24,78
4,8,2914479,30,78
4,8,2914480,29,78
4,8,2914481,30,78
4,8,2914482,30,78
4,8,2914483,35,78
4,8,2914484,31,78
4,8,2914485,30,78
4,8,2914486,33,78
4,8,2914487,30,78
4,8,2914488,30,78
4,8,2914489,33,78
4,8,2914490,29,78
4,8,2914493,34,78
4,8,2914494,29,78
4,8,2914495,32,78
4,8,2915008,30,78
4,8,2915225,28,78
4,8,2916098,38,78
4,8,2916332,33,78
4,9,3250218,24,65
4,9,3250219,24,65
4,9,3250221,18,65
4,9,3250222,20,65
4,9,3250225,20,65
4,9,3250227,25,65
4,9,3250228,25,65
4,9,3250230,23,65
4,9,3250231,30,65
4,9,3250232,27,65
4,9,3250233,28,65
4,9,3250234,33,65
4,9,3250235,29,65
4,9,3250236,20,65
4,9,3250237,27,65
4,9,3250239,30,65
4,9,3250240,27,65
4,9,3250242,27,65
4,9,3250243,26,65
4,9,3250244,25,65
4,9,3250594,17,65
4,9,3253451,23,65
4,10,3594469,21,59
4,10,3594470,15,59
4,10,3594471,20,59
4,10,3594472,17,59
4,10,3594473,17,59
4,10,3594474,26,59
4,10,3594475,25,59
4,10,3594476,29,59
4,10,3594477,15,59
4,10,3594478,21,59
4,10,3594479,23,59
4,10,3594480,13,59
4,10,3594481,22,59
4,10,3594482,23,59
4,10,3594483,18,59
4,10,3594484,23,59
4,10,3594485,25,59
4,10,3594486,26,59
4,10,3594487,29,59
4,10,3596248,16,59
4,10,3596482,29,59
NA,NA,NA,NA,NA
5,1,579021,22,120
5,1,579022,33,120
5,1,579023,28,120
5,1,579024,29,120
5,1,579025,21,120
5,1,579026,23,120
5,1,579027,26,120
5,1,579028,28,120
5,1,579029,28,120
5,1,579030,30,120
5,1,579031,29,120
5,1,579032,31,120
5,1,579033,23,120
5,1,579034,25,120
5,1,579035,26,120
5,1,579036,23,120
5,1,579037,22,120
5,1,579038,26,120
5,1,579039,28,120
5,1,579040,29,120
5,1,580474,26,120
5,1,580696,27,120
5,2,863283,30,114
5,2,863284,36,114
5,2,863285,35,114
5,2,863286,34,114
5,2,863287,31,114
5,2,863288,37,114
5,2,863289,33,114
5,2,863290,35,114
5,2,863291,34,114
5,2,863292,24,114
5,2,863293,28,114
5,2,863294,24,114
5,2,863295,23,114
5,2,863296,21,114
5,2,863297,34,114
5,2,863298,35,114
5,2,863299,29,114
5,2,863300,22,114
5,2,863301,29,114
5,2,863302,29,114
5,2,863500,29,114
5,2,863898,31,114
5,2,865039,33,114
5,2,865794,34,114
5,2,866324,35,114
5,3,1221590,31,103
5,3,1221591,34,103
5,3,1221592,37,103
5,3,1221593,31,103
5,3,1221594,37,103
5,3,1221595,38,103
5,3,1221596,34,103
5,3,1221597,39,103
5,3,1221598,29,103
5,3,1221599,32,103
5,3,1221600,26,103
5,3,1221601,33,103
5,3,1221602,26,103
5,3,1221603,35,103
5,3,1221604,36,103
5,3,1221605,30,103
5,3,1221606,36,103
5,3,1221607,28,103
5,3,1221608,29,103
5,3,1221609,32,103
5,3,1223428,28,103
5,4,1553220,32,101
5,4,1553221,36,101
5,4,1553222,33,101
5,4,1553223,39,101
5,4,1553224,40,101
5,4,1553225,34,101
5,4,1553226,38,101
5,4,1553227,39,101
5,4,1553228,32,101
5,4,1553229,40,101
5,4,1553230,30,101
5,4,1553231,34,101
5,4,1553232,29,101
5,4,1553233,32,101
5,4,1553234,32,101
5,4,1553235,31,101
5,4,1553236,36,101
5,4,1553237,36,101
5,4,1553238,24,101
5,4,1553239,34,101
5,4,1557078,33,101
5,5,1908457,36,100
5,5,1908458,34,100
5,5,1908459,40,100
5,5,1908460,41,100
5,5,1908462,35,100
5,5,1908463,39,100
5,5,1908464,40,100
5,5,1908466,32,100
5,5,1908467,34,100
5,5,1908468,30,100
5,5,1908469,34,100
5,5,1908470,28,100
5,5,1908471,36,100
5,5,1908472,35,100
5,5,1908473,38,100
5,5,1908474,38,100
5,5,1908475,35,100
5,5,1908477,38,100
5,5,1908478,30,100
5,5,1908479,30,100
5,5,1910152,31,100
5,6,2279200,34,100
5,6,2279202,38,100
5,6,2279203,34,100
5,6,2279205,36,100
5,6,2279206,40,100
5,6,2279207,34,100
5,6,2279208,32,100
5,6,2279209,31,100
5,6,2279210,34,100
5,6,2279212,28,100
5,6,2279213,38,100
5,6,2279214,38,100
5,6,2279215,35,100
5,6,2279216,30,100
5,6,2279217,33,100
5,6,2279218,39,100
5,6,2279219,39,100
5,6,2279220,38,100
5,6,2279222,39,100
5,6,2279223,30,100
5,6,2279801,34,100
5,6,2280862,36,100
5,6,2281905,30,100
5,7,2644910,31,94
5,7,2644911,30,94
5,7,2644912,32,94
5,7,2644913,29,94
5,7,2644914,33,94
5,7,2644915,28,94
5,7,2644916,29,94
5,7,2644917,27,94
5,7,2644918,37,94
5,7,2644919,32,94
5,7,2644920,29,94
5,7,2644921,31,94
5,7,2644922,38,94
5,7,2644923,31,94
5,7,2644924,33,94
5,7,2644925,31,94
5,7,2644926,31,94
5,7,2644927,36,94
5,7,2644928,35,94
5,7,2644929,31,94
5,7,2645125,32,94
5,7,2645285,28,94
5,7,2645673,34,94
5,7,2645788,35,94
5,7,2647015,30,94
5,8,2952094,32,89
5,8,2952095,23,89
5,8,2952096,30,89
5,8,2952097,28,89
5,8,2952098,23,89
5,8,2952099,30,89
5,8,2952100,23,89
5,8,2952101,29,89
5,8,2952102,29,89
5,8,2952103,30,89
5,8,2952104,24,89
5,8,2952105,26,89
5,8,2952106,27,89
5,8,2952107,24,89
5,8,2952108,34,89
5,8,2952109,36,89
5,8,2952110,37,89
5,8,2952111,28,89
5,8,2952112,25,89
